"","ASPEN-II-18-B","ASPEN-II-4-B","ASPEN-II-4-A","ASPEN-II-7-B","ASPEN-II-12-A","ASPEN-II-6-A","ASPEN-II-6-B","ASPEN-II-7-A","ASPEN-II-10-B","ASPEN-II-3-B","ASPEN-II-5-A","ASPEN-II-10-A","ASPEN-II-5-B","ASPEN-II-17-A","ASPEN-II-20-B","ASPEN-II-20-A","ASPEN-II-3-A","ASPEN-II-18-A","ASPEN-QQ-6-A","ASPEN-QQ-6-B","ASPEN-QQ-7-A","ASPEN-QQ-7-B","ASPEN-QQ-10-A","ASPEN-QQ-10-B","ASPEN-QQ-4-A","ASPEN-QQ-5-A","ASPEN-QQ-8-A","ASPEN-QQ-8-B","ASPEN-QQ-11-A","ASPEN-QQ-19-B","ASPEN-QQ-1-A","ASPEN-QQ-1-B","ASPEN-QQ-3-A","ASPEN-QQ-3-B","ASPEN-QQ-9-A","ASPEN-QQ-9-B","ASPEN-QQ-14-A","ASPEN-QQ-19-A","ASPEN-QQ-2-A","ASPEN-QQ-2-B","ASPEN-QQ-11-B","ASPEN-QQ-14-B","ASPEN-QQ-15-B","ASPEN-QQ-16-A","ASPEN-QQ-16-B","ASPEN-QQ-20-B","ASPEN-II-13-A","ASPEN-II-13-B","ASPEN-II-11-B","ASPEN-QQ-20-A","ASPEN-QQ-12-A","ASPEN-QQ-12-B","ASPEN-QQ-15-A","ASPEN-QQ-18-A","ASPEN-QQ-18-B","ASPEN-II-14-A","ASPEN-II-15-B","ASPEN-QQ-13-A","ASPEN-QQ-13-B","ASPEN-II-19-A","ASPEN-II-11-A","ASPEN-II-19-B","ASPEN-II-14-B"
"1957",0.781,1.793,1.242,0.871,0.881,1.004,0.975,0.728,2.209,0.978,1.177,2.167,1.32,0.581,0.977,0.781,1.15,0.663,1.426,1.494,0.91,0.833,1.089,1.193,1.725,1.358,1.129,0.881,0.43,0.843,0.101,0.186,0.34,0.196,0.59,1.233,0.944,1.017,0.291,0.333,0.953,0.256,1.091,0.212,0.256,1.301,1.518,2.477,1.039,1.156,1.147,1.367,1.254,1.661,1.289,2.62,NA,NA,NA,NA,NA,NA,NA
"1958",0.762,1.216,1.097,1.022,0.973,1.21,1.12,0.825,1.185,0.967,0.961,1.17,1.07,0.318,1.168,0.958,0.909,0.943,1.193,1.336,0.749,0.666,0.842,1.104,1.053,0.778,0.808,0.647,0.69,0.7,0.673,0.701,0.966,0.576,1.017,0.825,0.986,0.789,0.386,0.309,0.379,0.905,0.961,0.728,0.741,1.166,1.211,1.253,1.126,0.96,1.366,1.521,1.354,1.116,3.386,1.555,NA,NA,NA,NA,NA,NA,NA
"1959",1.271,0.723,0.399,0.502,1.096,0.736,0.836,0.221,0.216,0.373,0.232,0.127,0.616,0.816,1.338,1.137,0.806,1.081,1.063,1.089,0.641,0.936,0.596,0.918,0.66,0.759,0.616,0.612,0.832,1.074,0.956,0.711,0.764,0.779,0.674,0.606,1.06,1.171,0.377,0.738,0.679,0.9,1.186,1.194,1.43,0.708,1.026,1.968,1.207,0.551,1.156,1.404,1.195,1.284,0.979,2.221,1.237,NA,NA,NA,NA,NA,NA
"1960",1.952,0.86,1.09,1.041,1.015,1.435,0.828,0.648,1.248,1.06,0.412,1.268,0.63,0.924,1.008,1.346,1.184,1.145,1.287,1.098,0.521,0.722,0.557,0.778,0.77,0.817,0.626,0.534,1.138,1.355,0.998,0.878,0.737,0.749,0.596,0.689,1.157,1.2,0.501,0.43,0.788,1.009,1.101,1.444,1.382,0.734,0.99,1.885,1.217,0.491,1.174,1.432,1.068,0.962,1.135,1.455,1.032,1.065,1.015,NA,NA,NA,NA
"1961",1.668,0.512,0.69,0.603,1.056,0.51,0.462,0.636,1.145,0.783,0.545,0.914,0.46,0.873,0.868,0.966,0.702,1.197,1.258,1.163,0.155,0.348,0.384,0.601,0.498,0.724,0.236,0.282,1.437,1.939,0.942,0.724,1.489,1.154,0.507,0.395,1.251,1.304,0.95,0.854,1.154,1.298,1.325,1.948,2.021,0.729,1.538,2.282,0.846,0.709,0.981,1.31,1.312,1.282,0.994,1.521,1.049,1.131,1.349,NA,NA,NA,NA
"1962",0.399,0.659,0.497,0.64,1.389,0.59,0.414,0.348,1.636,0.587,0.889,1.697,0.507,0.648,0.459,0.805,0.769,1.956,1.131,1.365,0.093,0.203,0.151,0.413,0.149,0.497,0.27,0.186,1.14,1.316,1.269,1.22,1.52,1.384,0.207,0.16,1.037,1.43,0.793,0.564,0.922,1.266,1.052,1.665,1.924,0.235,1.026,1.81,1.312,0.274,0.727,1.029,1.419,1.086,1.205,0.831,0.766,0.856,0.735,NA,NA,NA,NA
"1963",0.553,0.639,0.439,0.42,0.649,0.19,0.249,0.432,0.83,0.479,0.589,1.622,0.316,0.394,0.509,1.13,0.62,0.697,0.676,0.812,0.112,0.121,0.07,0.166,0.108,0.156,0.377,0.19,1.466,2.06,1.082,0.935,1.543,1.634,0.196,0.185,1.877,1.974,1.019,0.982,1.764,1.878,1.578,2.372,1.98,0.328,1.87,1.561,0.427,0.137,1.296,1.635,1.903,1.29,0.87,1.147,1.065,1.283,1.457,NA,NA,NA,NA
"1964",2.073,0.711,0.568,0.562,0.566,0.275,0.278,0.338,1.219,0.396,0.391,1.356,0.375,0.82,1.181,0.657,0.511,1.027,1.308,1.525,0.447,0.581,0.601,0.535,0.485,0.428,0.873,0.689,1.191,1.323,1.445,1.381,1.48,1.527,0.507,0.595,1.472,1.56,0.866,1.203,1.413,1.283,1.322,1.508,1.54,1.166,1.516,2.07,0.768,0.845,1.006,1.308,1.406,1.23,1.329,1.4,1.485,0.762,0.916,NA,NA,NA,NA
"1965",1.671,1.179,0.765,0.966,1.685,0.849,0.864,0.749,1.756,0.554,0.504,2.089,0.595,1.012,0.656,0.243,0.725,1.819,1.373,1.36,0.584,0.906,0.669,0.676,0.508,0.574,0.84,0.755,0.86,0.652,1.254,1.161,0.925,1.585,0.518,0.705,1.006,0.825,0.611,0.903,1.071,0.924,1.18,1.261,1.039,0.42,1.138,1.291,0.939,0.493,0.846,0.882,0.875,0.952,1.044,0.667,1.423,0.633,0.618,0.779,NA,NA,NA
"1966",1.071,1.072,0.761,0.832,1.269,0.876,0.766,0.675,1.12,0.856,0.644,0.933,0.616,0.738,0.244,1.084,0.784,1.677,1.468,1.166,0.611,1.091,0.715,0.903,0.502,0.758,1.058,0.897,1.166,1.006,0.823,0.883,1.99,2.012,0.551,0.558,1.715,0.906,1.075,0.998,1.457,1.465,1.788,1.7,1.7,1.192,0.571,1.398,1.144,0.871,1.116,1.442,1.413,1.45,0.886,0.887,1.14,0.988,0.962,0.815,NA,NA,NA
