"","WSPRU-C-17-B","WSPRU-C-19-A","WSPRU-C-16-A","WSPRU-C-16-B","WSPRU-C-18-A","WSPRU-C-18-B","WSPRU-C-19-B","WSPRU-C-17-A","WSPRU-C-15-B","WSPRU-C-15-A","WSPRU-C-13-A","WSPRU-C-13-B","WSPRU-C-12-B","WSPRU-C-12-A","WSPRU-C-14-B","WSPRU-C-14-A","WSPRU-E-15-A","WSPRU-E-15-B","WSPRU-E-14-B","WSPRU-E-8-B","WSPRU-E-8-A","WSPRU-E-11-A","WSPRU-E-14-A","WSPRU-E-13-B","WSPRU-E-9-B","WSPRU-E-10-A","WSPRU-E-11-B","WSPRU-E-12-B","WSPRU-E-13-A","WSPRU-E-10-B","WSPRU-E-12-A","WSPRU-E-7-A","WSPRU-E-9-A","WSPRU-E-7-B"
"1992",1.734,0.778,1.15,1.338,1.891,2.502,0.753,1.795,1.986,1.847,2.017,3.395,3.735,4.006,2.629,3.38,3.722,3.059,3.801,4.843,3.825,5.051,3.904,3.564,3.434,3.367,4.384,3.322,3.526,3.429,4.059,0.352,3.619,NA
"1993",1.682,0.628,0.8,1.131,1.794,2.557,0.55,1.602,2.047,2.242,1.498,2.892,3.552,4.511,3.509,3.314,3.743,3.558,2.876,4.846,4.233,3.398,3.135,3.816,4.1,3.334,2.966,3.262,4.526,3.693,3.055,0.365,4.034,NA
"1994",1.678,0.593,0.634,0.809,1.806,2.168,0.542,1.381,1.788,1.499,2.437,2.659,3.7,3.933,3.641,3.083,4.028,3.209,2.454,3.545,3.67,4.568,3.322,3.652,3.857,3.87,4.005,3.571,3.87,3.692,3.624,0.29,4.613,0.134
"1995",1.084,0.357,0.427,0.6,2.54,2.315,0.311,1.278,1.648,1.212,2.463,2.613,2.32,4.053,3.635,3.185,3.844,2.899,3.259,3.717,3.879,5.628,3.972,4.004,4.641,4.07,4.668,2.496,3.506,3.636,2.827,0.335,5.563,0.239
"1996",1.038,0.304,0.356,0.575,2.191,2.033,0.443,1.021,1.576,1.062,2.594,2.795,3.863,2.918,2.769,2.661,3.584,3.104,3.868,4.715,3.957,4.995,2.871,4.302,5.087,4.51,4.173,3.278,3.932,3.927,4.426,0.309,5.279,0.627
"1997",0.795,0.342,0.323,0.365,2.145,2.211,0.589,0.783,1.294,1.012,2.268,2.494,2.511,3.821,2.196,2.127,3.185,2.343,2.864,3.752,3.175,4.525,2.225,4.358,4.864,4.315,4.278,3.019,3.677,3.647,4.36,0.322,5.924,0.373
"1998",0.416,0.183,0.474,0.285,1.657,1.535,0.165,0.533,0.743,0.832,1.215,1.668,0.9,3.379,1.889,1.435,2.256,1.826,2.629,4.997,4.631,3.971,2.268,4.082,5.494,3.923,4.24,2.774,3.928,3.633,4.545,0.374,4.774,0.376
"1999",0.285,0.175,0.29,0.253,0.574,0.815,0.185,0.433,0.366,0.426,0.946,1.291,1.573,1.286,1.259,0.733,1.33,0.917,1.977,7.321,3.596,2.486,1.666,4.174,4.704,3.353,2.9,3.251,3.722,3.297,4.745,0.296,3.424,0.419
"2000",0.521,0.13,NA,NA,1.242,1.787,0.085,0.543,0.721,0.719,1.122,1.858,1.983,2.319,2.125,0.94,1.607,1.544,1.467,3.06,3.693,2.763,1.967,2.631,3.673,2.831,2.778,2.212,2.223,2.75,2.697,0.301,3.835,0.278
"2001",0.226,0.076,NA,NA,1.05,1.308,0.175,0.379,0.379,0.891,0.729,1.537,1.14,1.577,1.49,0.544,1.665,1.665,1.481,3.021,2.69,3.389,1.777,2.426,4.038,3.225,3.315,2.808,2.914,3.301,3.403,0.253,4.339,0.285
"2002",0.212,NA,NA,NA,0.392,0.688,0.05,0.212,0.233,0.221,0.682,0.791,1.251,1.18,0.694,0.397,1.201,1.078,1.281,3.598,3.56,2.533,1.838,3.784,4.368,3.811,3.027,3.587,3.707,3.268,3.928,0.422,3.638,0.275
"2003",0.49,NA,NA,NA,0.41,0.651,0.103,0.527,0.276,0.155,0.37,0.611,1.106,1.054,0.754,0.368,1.246,1.256,1.344,2.744,5.135,3.717,3.139,2.996,3.571,2.459,4.15,3.114,2.769,2.851,3.567,0.415,5.044,0.332
"2004",0.287,NA,NA,NA,0.642,0.764,0.088,0.311,0.188,0.389,0.757,0.8,1.143,0.354,0.68,0.453,1.129,1.181,1.48,2.655,2.825,2.463,1.887,3.712,5.07,3.929,3.063,4.424,3.212,4.644,4.63,0.561,4.521,0.465
"2005",0.357,NA,NA,NA,0.653,0.831,0.129,0.369,0.152,0.278,0.612,0.947,1.176,0.619,0.907,0.49,1.27,1.539,1.652,NA,3.149,1.958,1.795,5.957,8.074,7.134,2.926,7.184,5.135,7.057,8.211,0.823,4.834,0.573
"2006",0.395,NA,NA,NA,0.752,0.779,0.043,0.433,0.252,0.307,0.657,0.948,0.406,0.609,1.123,0.523,1.569,1.833,1.45,NA,NA,2.055,1.252,2.703,3.578,3.007,2.639,3.917,2.353,3.569,4.255,0.707,4.801,0.753
"2007",0.367,NA,NA,NA,0.851,0.721,0.047,0.398,0.121,0.455,0.986,0.875,0.519,0.294,1.141,0.514,1.238,1.017,1.257,NA,NA,1.823,0.984,2.481,3.934,3.182,3.011,3.709,2.15,3.627,3.819,NA,4.232,0.997
"2008",0.359,NA,NA,NA,0.938,NA,NA,0.34,NA,0.376,1.651,1.201,0.758,0.187,1.545,0.624,2.028,1.652,1.41,NA,NA,2.672,1.033,3.042,4.418,3.802,3.189,4.126,3.037,4.39,4.894,NA,5.014,1.389
"2009",0.307,NA,NA,NA,0.922,NA,NA,0.335,NA,0.364,1.361,1.216,0.798,0.353,1.243,0.625,1.568,1.323,1.099,NA,NA,2.487,0.695,2.352,2.439,2.792,2.751,3.672,2.402,3.565,3.886,NA,3.11,1.031
"2010",NA,NA,NA,NA,0.749,NA,NA,0.386,NA,0.307,1.262,1.053,NA,NA,0.995,0.627,1.659,1.659,1.293,NA,NA,2.45,0.725,2.193,2.525,2.343,3.523,3.369,2.133,3.214,3.948,NA,3.2,NA
