"","ASPEN-BB-15-B","ASPEN-BB-9-B","ASPEN-BB-18-B","ASPEN-BB-14-B","ASPEN-BB-13-B","ASPEN-BB-10-A","ASPEN-BB-15-A","ASPEN-BB-17-A","ASPEN-BB-17-B","ASPEN-BB-18-A","ASPEN-BB-9-A","ASPEN-BB-11-A","ASPEN-BB-16-B","ASPEN-BB-11-B","ASPEN-BB-12-A","ASPEN-BB-12-B","ASPEN-BB-14-A","ASPEN-BB-10-B","ASPEN-BB-13-A","ASPEN-FF-3-B","ASPEN-FF-14-B","ASPEN-FF-2-A","ASPEN-FF-8-B","ASPEN-FF-4-A","ASPEN-FF-4-B","ASPEN-FF-13-A","ASPEN-FF-14-A","ASPEN-FF-20-A","ASPEN-FF-2-B","ASPEN-FF-3-A","ASPEN-FF-8-A","ASPEN-FF-5-B","ASPEN-FF-1-A","ASPEN-FF-1-B","ASPEN-FF-13-B","ASPEN-FF-16-A","ASPEN-FF-17-A","ASPEN-FF-6-A","ASPEN-FF-6-B","ASPEN-FF-19-A","ASPEN-FF-7-A","ASPEN-FF-7-B","ASPEN-FF-15-B","ASPEN-FF-18-B","ASPEN-FF-5-A","ASPEN-FF-17-B","ASPEN-FF-19-B","ASPEN-FF-20-B","ASPEN-FF-18-A","ASPEN-FF-15-A","ASPEN-FF-12-A","ASPEN-FF-12-B","ASPEN-FF-16-B","ASPEN-FF-11-A","ASPEN-FF-11-B"
"1970",2.04,1.354,1.358,2.075,1.77,2.798,1.613,1.636,2.093,4.282,1.804,2.23,1.644,2.043,3.768,2.119,2.87,1.648,1.796,0.825,1.72,0.744,0.863,0.647,0.732,1.213,2.134,1.637,1.17,0.86,0.711,0.167,0.862,0.648,0.561,1.06,0.868,0.868,1.264,2.212,1.354,1.045,0.796,1.165,3.079,1.547,1.907,2.694,NA,NA,NA,NA,NA,NA,NA
"1971",3.368,1.775,3.324,3.147,2.5,1.929,3.825,2.979,2.674,2.344,2.853,2.943,2.776,3.624,4.353,3.104,4.156,2.251,2.383,1.1,2.46,0.552,2.392,0.874,0.821,2.064,2.919,1.987,1.479,0.666,2.311,1.366,1.068,0.859,2.072,2.073,1.384,0.685,0.94,1.433,1.843,1.15,1.065,1.203,3.706,1.297,2.346,3.568,1.46,NA,NA,NA,NA,NA,NA
"1972",2.313,1.778,2.163,2.221,1.676,2.092,2.59,1.832,1.612,2.741,1.69,2.259,1.291,2.857,3.199,2.329,3.191,1.653,2.035,1.946,2.146,1.505,1.129,1.021,0.732,1.025,2.344,2.606,1.5,2.071,1.756,1.723,1.343,1.329,1.033,1.977,1.949,1.58,1.593,1.636,2.983,1.706,1.07,1.393,2.59,1.376,2.845,2.835,1.351,NA,NA,NA,NA,NA,NA
"1973",2.65,2.206,3.278,3.025,2.037,1.547,3.244,2.477,2.326,2.206,2.332,2.395,1.891,2.408,3.753,2.762,3.927,2.028,2.863,0.505,2.605,1.564,0.868,0.969,0.848,1.356,1.824,2.543,1.429,1.003,1.397,2.439,1.114,1.13,1.089,1.773,2.126,1.646,2.052,1.988,2.761,1.399,0.991,1.589,2.551,1.323,3.135,2.886,1.693,NA,NA,NA,NA,NA,NA
"1974",1.856,2.02,2.521,2.379,1.679,1.658,1.58,1.103,1.557,2.711,1.871,1.952,1.641,1.768,3.207,2.369,3.416,1.444,2.239,0.46,2.711,1.285,0.535,0.569,0.421,0.46,2.178,3.187,1.299,0.249,1.185,1.274,0.992,1.342,0.561,2.319,2.186,1.046,0.826,1.994,1.67,1.62,0.47,1.565,1.661,1.386,1.911,3.479,1.242,0.665,NA,NA,NA,NA,NA
"1975",1.924,1.642,2.9,2.327,2.216,2.208,2.237,2.079,2.113,2.747,2.001,1.677,1.721,2.17,3.578,2.488,3.476,1.784,2.105,0.102,2.891,1.68,1.259,0.936,0.505,0.915,2.706,3.957,0.11,0.491,1.573,1.565,1.501,1.505,1.107,3.43,2.116,0.954,1.204,2.211,1.604,1.35,0.547,2.071,3.203,0.647,2.302,4.008,1.395,0.411,NA,NA,NA,NA,NA
"1976",1.879,1.925,3.114,2.667,2.574,1.221,2.007,2.703,2.343,1.683,1.45,1.808,2.326,2.169,4.385,2.399,3.917,2.687,2.144,0.416,3.859,0.129,1.351,0.881,0.849,0.813,2.911,4.474,1.618,0.105,2.353,1.304,0.205,0.201,1.112,3.648,2.509,0.326,0.817,1.796,0.128,0.331,0.49,1.769,3.563,0.764,2.141,4.384,1.853,0.599,NA,NA,NA,NA,NA
"1977",1.549,1.038,2.156,1.969,1.993,0.397,1.065,1.837,1.549,0.817,1.034,1.21,1.48,1.301,4.195,1.98,3.267,1.713,1.598,0.921,1.833,1.651,1.762,1.333,0.935,0.251,1.815,2.462,1.781,0.292,3.086,1.971,1.762,1.614,0.541,2.602,1.608,1.521,1.436,1.989,1.569,1.37,0.583,2.079,1.459,0.992,2.114,2.955,2.15,0.656,1.799,1.633,1.791,NA,NA
"1978",0.661,0.481,0.794,0.749,0.461,0.65,0.436,0.504,0.534,1.322,0.45,0.5,0.481,0.438,1.273,0.695,0.976,0.578,0.912,0.236,1.467,1.501,1.143,1.242,0.816,0.456,1.038,0.842,0.467,0.186,2.415,1.84,1.681,2.093,0.654,0.743,1.053,0.726,0.908,1.436,1.816,1.724,0.379,1.856,0.848,1.987,0.63,0.583,1.767,1.044,1.047,0.63,0.668,NA,NA
"1979",1.151,0.503,1.112,0.887,0.538,0.418,0.908,0.954,0.407,0.444,0.565,0.803,1.402,1.253,1.587,0.721,1.882,0.531,0.441,0.166,1.329,1.21,0.944,1.395,1.043,0.091,0.95,1.669,0.66,0.168,0.979,0.892,1.343,1.571,0.401,1.084,1.174,0.379,0.352,1.594,1.393,1.394,0.392,1.311,0.78,1.298,1.08,1.982,1.303,0.752,2.001,1.627,0.935,NA,NA
"1980",0.589,0.494,0.556,0.631,0.336,0.193,0.339,0.489,0.5,0.29,0.466,0.515,0.551,0.42,0.487,1.236,0.519,0.317,0.492,0.307,0.853,0.741,0.31,1.085,0.748,0.493,0.958,1.622,0.695,0.183,0.579,0.661,0.996,1.214,1.741,0.893,1.022,0.179,0.182,0.682,1.419,1.495,0.427,0.713,0.492,1.496,1.517,2.05,0.551,0.932,2.203,0.772,0.558,NA,NA
"1981",0.297,0.103,0.117,0.108,0.099,0.343,0.145,0.146,0.168,0.376,0.198,0.145,0.208,0.253,0.127,0.496,0.169,0.089,0.524,0.317,0.465,0.469,0.605,0.35,0.294,0.29,0.661,0.832,0.645,0.429,0.652,0.194,0.787,0.855,0.232,0.323,0.31,0.225,0.148,0.681,1.006,1.071,0.928,0.869,0.067,1.368,0.631,0.779,0.406,0.893,0.697,1.399,0.245,NA,NA
"1982",0.302,0.189,0.206,0.255,0.112,0.264,0.277,0.147,0.178,1.523,0.481,0.225,0.359,0.512,0.324,0.081,0.273,0.14,0.212,0.118,0.179,0.481,0.058,0.244,0.255,0.128,0.214,0.209,0.066,0.07,0.147,0.31,0.545,0.78,0.126,0.153,0.135,0.391,0.532,0.857,0.203,0.557,0.711,1.114,0.069,1.142,0.166,0.153,0.923,1.946,1.002,0.347,0.138,NA,NA
"1983",1.146,0.308,1.364,1.68,0.257,0.675,0.767,0.912,0.744,0.937,0.54,0.718,0.545,0.526,0.614,0.269,1.663,0.184,1.113,0.143,0.784,0.511,0.16,1.013,0.657,0.963,1.173,0.951,0.433,0.183,0.185,0.291,0.995,0.699,1.472,1.595,0.699,0.168,0.322,0.701,0.201,0.609,1.361,0.481,0.165,0.9,0.566,0.584,0.51,1.614,0.495,1.031,0.955,NA,NA
"1984",0.691,0.218,0.924,2.521,0.211,1.566,0.147,0.413,0.353,1.328,1.547,0.587,0.749,0.878,0.976,0.504,1.585,0.246,1.18,0.475,0.619,0.552,0.391,1.763,0.998,0.721,0.986,1.15,0.607,0.294,0.401,0.46,0.909,1.121,0.837,1.263,0.739,0.189,0.448,0.206,0.503,0.584,0.98,0.313,0.415,1.366,1.284,0.976,0.292,0.444,1.464,1.692,1.912,NA,NA
"1985",1.019,0.789,1.692,1.972,0.675,2.212,0.898,0.724,0.951,1.418,2.983,1.445,0.851,0.994,1.706,0.938,2.029,0.701,1.278,1.026,1.606,1.113,1.099,1.171,0.804,0.871,1.717,2.487,1.281,0.572,1.63,0.352,1.438,1.671,0.873,1.998,1.699,0.529,0.488,0.863,0.893,0.941,1.475,1.606,0.842,1.455,1.252,2.878,0.974,1.271,1.731,3.038,2.355,NA,NA
"1986",1.212,1.554,1.572,1.182,0.757,1.924,1.245,1.144,1.095,1.448,1.687,1.663,1.203,1.429,2.113,1.626,2.722,1.268,1.534,0.912,2.427,1.734,1.327,0.797,0.509,0.904,2.329,3.17,1.79,0.869,2.618,0.709,1.571,2.207,0.856,3.489,2.012,0.746,0.783,1.849,1.958,1.134,1.267,1.717,0.87,1.559,1.865,3.194,1.201,1.412,2.665,2.305,3.129,2.065,NA
