"","WSPRU-II-5-A","WSPRU-II-5-B","WSPRU-II-3-A","WSPRU-II-3-B","WSPRU-II-10-B","WSPRU-II-4-B","WSPRU-II-6-A","WSPRU-II-4-A","WSPRU-II-6-B","WSPRU-II-8-B","WSPRU-II-8-A","WSPRU-II-9-B","WSPRU-II-10-A","WSPRU-II-9-A","WSPRU-QQ-11-B","WSPRU-QQ-11-A","WSPRU-II-7-B","WSPRU-II-7-A","WSPRU-QQ-12-B","WSPRU-QQ-12-A","WSPRU-II-2-A","WSPRU-II-2-B","WSPRU-QQ-6-B","WSPRU-QQ-6-A","WSPRU-QQ-2-B","WSPRU-QQ-2-A","WSPRU-QQ-3-B","WSPRU-QQ-3-A","WSPRU-QQ-5-A","WSPRU-QQ-5-B","WSPRU-QQ-7-A","WSPRU-QQ-7-B","WSPRU-QQ-9-A","WSPRU-QQ-8-A","WSPRU-QQ-8-B","WSPRU-QQ-9-B","WSPRU-QQ-4-A","WSPRU-QQ-4-B","WSPRU-QQ-10-A","WSPRU-QQ-10-B","WSPRU-II-1-A","WSPRU-II-1-B","WSPRU-QQ-1-B","WSPRU-QQ-1-A"
"1975",1.25,1.374,0.673,0.62,0.626,0.1,0.316,0.088,0.314,0.597,0.712,0.48,0.588,0.483,2.533,1.888,0.446,0.465,0.5,0.675,0.63,0.495,1.036,0.882,0.82,0.816,1.134,0.82,1.042,1.198,0.382,0.708,1.287,0.971,0.939,1.18,0.818,0.604,0.861,0.587,0.845,0.839,NA,NA
"1976",1.142,1.224,0.523,0.516,0.48,0.057,0.308,0.088,0.257,0.383,0.604,0.381,0.391,0.477,2.063,1.681,0.603,0.419,0.492,0.788,0.698,0.57,1.232,0.919,0.844,0.758,1.143,0.828,1.075,1.28,0.746,0.94,1.265,0.907,0.929,1.334,1.039,0.844,0.97,0.568,0.887,0.829,NA,NA
"1977",1.018,1.366,0.92,1.042,0.635,0.188,0.361,0.181,0.592,0.86,1.077,0.389,0.649,0.604,2.616,1.955,1.142,1.018,0.653,0.685,0.917,0.548,1.455,1.547,0.705,0.915,1.265,0.803,1.097,1.619,0.735,1.23,1.84,1.1,1.171,1.523,1.131,0.788,0.934,0.709,1.108,1.355,0.27,0.262
"1978",1.4,1.429,0.723,0.824,0.636,0.203,0.57,0.251,0.668,1.503,1.294,0.531,0.886,0.542,2.22,1.904,0.871,0.777,1.004,0.741,0.941,0.774,1.718,1.494,0.897,1.191,1.499,1.126,1.426,1.542,0.962,1.55,1.596,1.281,1.952,1.749,1.576,1.171,0.949,0.854,0.66,0.987,0.168,0.178
"1979",2.159,2.141,0.569,0.868,0.798,0.29,0.597,0.31,0.641,1.749,1.802,0.883,1.203,0.733,1.491,1.291,1.034,1.026,0.798,0.435,1.115,0.681,1.204,0.954,1.036,0.864,1.145,0.891,0.91,1.125,0.648,0.91,1.038,1.367,1.544,1.45,1.276,0.899,0.633,0.606,0.61,1.197,0.142,0.241
"1980",1.177,1.468,0.603,0.849,0.549,0.252,0.315,0.375,0.383,1.319,1.435,0.679,0.906,0.482,2.071,2.155,0.639,0.609,0.956,0.663,1.085,0.704,1.397,1.643,0.882,0.891,1.2,1.012,1.004,1.359,0.929,1.428,1.649,1.716,2.161,1.648,1.307,0.972,0.741,0.8,0.598,0.926,0.202,0.162
"1981",1.102,1.284,0.468,0.69,0.439,0.33,0.224,0.435,0.387,1.023,1.28,0.522,0.592,0.292,1.069,1.315,0.76,0.552,0.458,0.307,0.713,0.393,0.986,1.261,0.701,0.825,0.968,0.682,0.924,1.005,0.569,0.944,0.99,1.734,1.772,0.984,0.998,0.821,0.522,0.746,0.519,0.876,0.23,0.217
"1982",0.945,1.05,0.89,1.146,0.854,0.495,0.491,0.603,0.545,1.201,1.697,0.818,0.982,0.509,1.459,1.41,1.012,0.873,0.872,0.537,0.785,0.582,1.204,1.392,0.776,1.028,0.863,0.758,0.994,0.971,0.774,1.079,1.326,1.429,1.503,1.275,0.95,0.833,0.674,0.897,0.709,1.026,0.123,0.198
"1983",1.339,1.466,0.476,0.906,0.414,0.307,0.266,0.336,0.326,0.702,0.984,0.634,0.591,0.497,1.192,1.452,0.649,0.54,0.605,0.591,1.143,0.787,1.139,0.976,0.718,0.843,0.898,0.661,0.903,0.905,0.677,1.02,0.929,1.633,1.072,1.736,0.995,0.971,0.618,0.748,0.547,0.728,0.17,0.191
"1984",1.355,1.189,1.453,2.001,0.804,0.499,0.582,0.792,0.809,1.525,2.466,0.87,1.289,0.876,1.309,1.561,1.179,1.241,0.616,0.549,0.852,1.014,1.093,1.046,0.61,0.646,0.787,0.682,0.792,0.798,0.534,0.842,0.917,1.106,0.73,1.253,0.929,0.77,0.456,0.574,0.934,1.329,0.142,0.183
