"","ASPEN-R-7-A","ASPEN-R-4-A","ASPEN-R-2-B","ASPEN-R-6-B","ASPEN-R-3-A","ASPEN-R-6-A","ASPEN-R-2-A","ASPEN-R-4-B","ASPEN-R-5-A","ASPEN-R-7-B","ASPEN-R-3-B","ASPEN-R-5-B","ASPEN-R-1-A","ASPEN-R-8-B","ASPEN-R-8-A","ASPEN-R-1-B","ASPEN-U-13-B","ASPEN-U-14-B","ASPEN-U-17-A","ASPEN-R-13-A","ASPEN-U-10-A","ASPEN-U-12-B","ASPEN-U-14-A","ASPEN-U-15-A","ASPEN-U-15-B","ASPEN-U-18-A","ASPEN-R-9-B","ASPEN-R-18-B","ASPEN-U-9-B","ASPEN-U-16-A","ASPEN-U-17-B","ASPEN-R-13-B","ASPEN-R-18-A","ASPEN-U-8-B","ASPEN-U-10-B","ASPEN-U-11-B","ASPEN-U-16-B","ASPEN-U-18-B","ASPEN-R-14-B","ASPEN-R-9-A","ASPEN-R-16-B","ASPEN-U-6-A","ASPEN-U-6-B","ASPEN-U-11-A","ASPEN-U-13-A","ASPEN-R-14-A","ASPEN-R-17-A","ASPEN-R-11-A","ASPEN-R-11-B","ASPEN-R-10-B","ASPEN-R-17-B","ASPEN-R-12-B","ASPEN-R-15-A","ASPEN-U-8-A","ASPEN-R-10-A","ASPEN-R-12-A","ASPEN-R-15-B","ASPEN-U-9-A"
"1916",0.727,1.634,0.753,0.942,1.216,0.616,0.574,1.431,0.754,1.154,0.937,0.467,0.896,0.692,0.83,1.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1917",0.916,1.8,0.48,1.295,0.958,1.051,0.373,1.548,0.93,1.267,1.003,0.764,1.065,0.934,1.024,1.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1918",0.416,0.854,0.375,0.534,0.604,0.4,0.488,0.816,0.356,0.526,0.645,0.321,0.922,0.617,0.641,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1919",0.095,0.14,0.136,0.088,0.121,0.091,0.116,0.062,0.21,0.112,0.102,0.123,0.146,0.106,0.108,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1920",0.313,0.434,0.814,0.687,0.344,0.629,0.679,0.436,0.663,0.325,0.303,0.55,0.551,0.408,0.414,0.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1921",0.836,1.286,1.184,1.504,0.889,1.386,1.357,1.381,1.271,1.16,1.031,0.676,1.016,0.858,1.03,1.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1922",0.705,1.595,1.592,1.618,1.274,1.314,1.22,1.701,1.045,1.165,1.287,0.64,1.428,0.983,1.005,1.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1923",1.167,1.511,1.388,1.731,1.036,1.001,1.339,1.683,0.266,0.928,1.114,0.301,1.163,1.222,1.388,1.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1924",0.702,1.102,0.663,1.165,1.154,0.805,0.756,1.301,0.472,0.791,1.024,0.405,0.917,0.949,1.077,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1925",0.805,0.859,0.91,1.405,1.064,0.948,0.792,1.031,0.589,0.868,0.797,0.479,1.159,1.175,1.314,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1926",0.816,0.559,0.758,1.234,1.219,0.859,0.701,0.832,0.384,1.195,1.122,0.214,1.079,1.287,1.192,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1927",0.413,0.891,0.45,1.326,0.615,0.821,0.444,0.744,0.302,0.813,0.776,0.237,0.665,0.764,0.964,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1928",0.474,0.472,0.475,1.221,0.533,0.648,0.28,0.678,0.364,0.695,0.53,0.323,0.701,0.645,0.602,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1929",0.442,0.638,0.589,1.65,0.649,1.162,0.364,1.031,0.128,0.875,0.661,0.187,0.824,0.727,0.78,0.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
